CMDLINE C:\Users\joben\AppData\Local\Programs\Python\Python310\python.exe .\scraper_multiprocess.py
CHLD 2 24.812500 1687897099.6142
CHLD 3 19.589844 1687897099.6142
CHLD 4 20.472656 1687897099.6142
CHLD 5 21.976562 1687897099.6142
CHLD 6 18.988281 1687897099.6142
CHLD 7 20.179688 1687897099.6142
MEM 21.480469 1687897099.7192
CHLD 0 23.148438 1687897099.7765
CHLD 1 24.875000 1687897099.7765
CHLD 2 24.847656 1687897099.7765
CHLD 3 20.449219 1687897099.7765
CHLD 4 24.000000 1687897099.7765
CHLD 5 22.058594 1687897099.7765
CHLD 6 20.113281 1687897099.7765
CHLD 7 22.000000 1687897099.7765
MEM 21.488281 1687897099.8878
CHLD 0 24.984375 1687897099.9152
CHLD 1 24.921875 1687897099.9152
CHLD 2 24.867188 1687897099.9152
CHLD 3 21.945312 1687897099.9152
CHLD 4 24.867188 1687897099.9162
CHLD 5 24.812500 1687897099.9162
CHLD 6 23.246094 1687897099.9162
CHLD 7 22.027344 1687897099.9162
MEM 21.488281 1687897100.0281
CHLD 0 24.996094 1687897100.0575
CHLD 1 24.941406 1687897100.0585
CHLD 2 24.867188 1687897100.0585
CHLD 3 21.968750 1687897100.0585
CHLD 4 24.910156 1687897100.0585
CHLD 5 24.824219 1687897100.0585
CHLD 6 24.859375 1687897100.0585
CHLD 7 24.738281 1687897100.0585
MEM 21.488281 1687897100.1686
CHLD 0 25.015625 1687897100.1971
CHLD 1 24.949219 1687897100.1971
CHLD 2 24.867188 1687897100.1971
CHLD 3 24.839844 1687897100.1971
CHLD 4 24.925781 1687897100.1971
CHLD 5 24.867188 1687897100.1971
CHLD 6 24.886719 1687897100.1971
CHLD 7 24.871094 1687897100.1981
MEM 21.488281 1687897100.3086
CHLD 0 25.019531 1687897100.3287
CHLD 1 24.953125 1687897100.3287
CHLD 2 24.871094 1687897100.3287
CHLD 3 24.867188 1687897100.3287
CHLD 4 24.929688 1687897100.3287
CHLD 5 24.910156 1687897100.3287
CHLD 6 24.917969 1687897100.3287
CHLD 7 24.886719 1687897100.3287
MEM 21.488281 1687897100.4334
CHLD 0 25.023438 1687897100.4550
CHLD 1 24.953125 1687897100.4550
CHLD 2 24.871094 1687897100.4550
CHLD 3 24.886719 1687897100.4550
CHLD 4 24.929688 1687897100.4550
CHLD 5 24.910156 1687897100.4550
CHLD 6 24.921875 1687897100.4550
CHLD 7 24.890625 1687897100.4550
MEM 21.488281 1687897100.5563
CHLD 0 25.023438 1687897100.5733
CHLD 1 24.960938 1687897100.5733
CHLD 2 24.871094 1687897100.5733
CHLD 3 24.890625 1687897100.5733
CHLD 4 24.933594 1687897100.5733
CHLD 5 24.914062 1687897100.5733
CHLD 6 24.921875 1687897100.5733
CHLD 7 24.890625 1687897100.5733
MEM 21.488281 1687897100.6816
CHLD 0 25.023438 1687897100.7022
CHLD 1 24.960938 1687897100.7022
CHLD 2 24.871094 1687897100.7022
CHLD 3 24.890625 1687897100.7022
CHLD 4 24.933594 1687897100.7022
CHLD 5 24.914062 1687897100.7022
CHLD 6 24.921875 1687897100.7022
CHLD 7 24.894531 1687897100.7032
MEM 21.488281 1687897100.8046
CHLD 0 25.027344 1687897100.8227
CHLD 1 24.960938 1687897100.8227
CHLD 2 24.871094 1687897100.8227
CHLD 3 24.894531 1687897100.8227
CHLD 4 24.933594 1687897100.8237
CHLD 5 24.914062 1687897100.8237
CHLD 6 24.925781 1687897100.8237
CHLD 7 24.894531 1687897100.8237
MEM 21.488281 1687897100.9286
CHLD 0 25.027344 1687897100.9487
CHLD 1 24.960938 1687897100.9487
CHLD 2 24.871094 1687897100.9487
CHLD 3 24.902344 1687897100.9487
CHLD 4 24.933594 1687897100.9487
CHLD 5 24.914062 1687897100.9487
CHLD 6 24.925781 1687897100.9487
CHLD 7 24.894531 1687897100.9487
MEM 21.488281 1687897101.0542
CHLD 0 25.027344 1687897101.0688
CHLD 1 24.960938 1687897101.0688
